quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude
Californie,Villa,9000.0,A renover,2040,33.5731,-7.6298
Palmier,Studio,28095.0,Neuf,42,33.5784,-7.625
Oasis,Studio,27234.0,Bon état,47,33.564,-7.6223
Sidi Maarouf,Villa,14286.0,Bon état,350,33.5433,-7.6578
Ain Diab,Appartement,29101.0,Bon état,189,33.5955,-7.684
Triangle d'Or,Appartement,20468.0,Neuf,171,33.592,-7.613
Triangle d'Or,Appartement,25185.0,Bon état,270,33.592,-7.613
Californie,Villa,27222.0,Recent,360,33.5731,-7.6298
Racine,Duplex,15730.0,Bon état,267,33.587,-7.6386
Racine,Appartement,23529.0,Bon état,272,33.587,-7.6386
Ain Diab Extension,Appartement,23189.0,Bon état,185,33.598,-7.701
Californie,Duplex,9750.0,Bon état,400,33.5731,-7.6298
Anfa Superieur,Villa,25000.0,Bon état,2000,33.5936,-7.6623
Ain Diab,Appartement,24186.0,Bon état,215,33.5955,-7.684
Californie,Villa,21081.0,Bon état,370,33.5731,-7.6298
Ain Diab,Villa,16400.0,Bon état,500,33.5955,-7.684
Oasis,Appartement,15655.0,Bon état,313,33.564,-7.6223
Californie,Villa,17625.0,Bon état,400,33.5731,-7.6298
Nassim,Villa,9950.0,Bon état,500,33.575,-7.619
Val Fleury,Appartement,18137.0,Bon état,102,33.565,-7.637
Californie,Villa,12400.0,Bon état,2500,33.5731,-7.6298
Belvedere,Appartement,13889.0,Bon état,108,33.5901,-7.5939
Belvedere,Appartement,12500.0,Bon état,128,33.5901,-7.5939
Les Hopitaux,Appartement,16783.0,Recent,143,33.584,-7.598
Roches Noires,Appartement,11667.0,Recent,120,33.6001,-7.5711
Les Hopitaux,Appartement,8824.0,Recent,306,33.584,-7.598
Californie,Appartement,13704.0,Bon état,135,33.5731,-7.6298
Racine,Appartement,21818.0,Neuf,165,33.587,-7.6386
Ain Diab,Villa,17800.0,Recent,500,33.5955,-7.684
Californie,Villa,14371.0,Recent,1009,33.5731,-7.6298
Ain Diab Extension,Villa,9071.0,Bon état,700,33.598,-7.701
Oulfa,Appartement,12353.0,Bon état,85,33.5368,-7.6572
Roches Noires,Appartement,11500.0,Neuf,76,33.6001,-7.5711
Oasis,Villa,14394.0,Bon état,528,33.564,-7.6223
Oulfa,Appartement,18333.0,Bon état,60,33.5368,-7.6572
Mers Sultan,Studio,28571.0,Bon état,42,33.5921,-7.6024
Val Fleury,Appartement,14286.0,Bon état,175,33.565,-7.637
Les Hopitaux,Appartement,16667.0,Bon état,156,33.584,-7.598
Bourgogne Est,Appartement,16471.0,Bon état,85,33.589,-7.6113
Ain Sebaa,Appartement,10000.0,Bon état,75,33.606,-7.544
Les Hopitaux,Appartement,15337.0,Recent,163,33.584,-7.598
Sidi Moumen,Appartement,6667.0,Bon état,96,33.5895,-7.5178
Belvedere,Appartement,13889.0,Bon état,108,33.5901,-7.5939
Belvedere,Appartement,13889.0,Bon état,108,33.5901,-7.5939
Bourgogne Ouest,Appartement,15344.0,Bon état,189,33.5895,-7.6156
Polo,Villa,9943.0,Bon état,704,33.584,-7.652
Val Fleury,Appartement,14599.0,Bon état,137,33.565,-7.637
Californie,Appartement,14583.0,Neuf,120,33.5731,-7.6298
Ferme Bretonne,Appartement,17553.0,Neuf,94,33.549,-7.5944
Californie,Villa,18382.0,Bon état,680,33.5731,-7.6298
Californie,Villa,13453.0,Bon état,1150,33.5731,-7.6298
Mers Sultan,Studio,17647.0,Bon état,51,33.5921,-7.6024
Bernoussi,Appartement,8788.0,Bon état,99,33.6058,-7.5341
Racine,Appartement,18090.0,Bon état,199,33.587,-7.6386
Racine,Appartement,19167.0,Bon état,120,33.587,-7.6386
Bourgogne Ouest,Studio,31081.0,Bon état,37,33.5895,-7.6156
Sidi Maarouf,Appartement,10175.0,Bon état,57,33.5433,-7.6578
Maarif,Appartement,23000.0,Recent,50,33.578,-7.63
Les Hopitaux,Appartement,12273.0,Bon état,110,33.584,-7.598
Salam,Appartement,16990.0,Bon état,103,33.5487,-7.6411
Les Princesses,Appartement,16859.0,Bon état,433,33.582,-7.638
Bourgogne Ouest,Studio,20000.0,Recent,70,33.5895,-7.6156
Les Hopitaux,Appartement,15000.0,Bon état,80,33.584,-7.598
Val Fleury,Appartement,14218.0,Bon état,147,33.565,-7.637
Les Hopitaux,Appartement,18310.0,Bon état,71,33.584,-7.598
Belvedere,Appartement,13361.0,Bon état,119,33.5901,-7.5939
Californie,Villa,18152.0,Bon état,606,33.5731,-7.6298
Californie,Appartement,14773.0,A renover,88,33.5731,-7.6298
Oulfa,Appartement,16667.0,Bon état,60,33.5368,-7.6572
Californie,Villa,12455.0,Bon état,1381,33.5731,-7.6298
Bourgogne Est,Appartement,20000.0,Bon état,90,33.589,-7.6113
Val Fleury,Appartement,16869.0,Bon état,99,33.565,-7.637
Bourgogne Ouest,Appartement,9884.0,Bon état,86,33.5895,-7.6156
Polo,Villa,10268.0,Bon état,1120,33.584,-7.652
Ain Diab,Villa,25588.0,Bon état,340,33.5955,-7.684
Les Hopitaux,Appartement,13929.0,Bon état,112,33.584,-7.598
Palmier,Appartement,13208.0,Bon état,212,33.5784,-7.625
Les Hopitaux,Appartement,12739.0,Bon état,157,33.584,-7.598
Ain Diab,Duplex,12416.0,Bon état,298,33.5955,-7.684
Maarif Extension,Appartement,15816.0,Bon état,98,33.578,-7.6419
Anfa Superieur,Villa,29032.0,Bon état,1550,33.5936,-7.6623
Californie,Villa,21176.0,Bon état,1700,33.5731,-7.6298
Bourgogne Ouest,Appartement,10000.0,Bon état,125,33.5895,-7.6156
Ain Sebaa,Appartement,4400.0,Neuf,250,33.606,-7.544
Les Princesses,Appartement,15143.0,Neuf,105,33.582,-7.638
Bernoussi,Appartement,8152.0,Bon état,92,33.6058,-7.5341
Oasis,Villa,25000.0,Bon état,682,33.564,-7.6223
Bernoussi,Appartement,8125.0,Bon état,80,33.6058,-7.5341
Beausejour,Appartement,13018.0,Neuf,164,33.591,-7.6251
Belvedere,Appartement,13208.0,Bon état,106,33.5901,-7.5939
Californie,Villa,10182.0,Bon état,1375,33.5731,-7.6298
Maarif,Studio,20536.0,Neuf,56,33.578,-7.63
Ain Diab,Duplex,12081.0,Bon état,298,33.5955,-7.684
Oasis,Appartement,25333.0,Bon état,75,33.564,-7.6223
Racine,Appartement,17413.0,Bon état,201,33.587,-7.6386
Ain Diab,Appartement,43478.0,Bon état,138,33.5955,-7.684
Ain Diab,Appartement,18033.0,Bon état,183,33.5955,-7.684
Bourgogne Ouest,Studio,32143.0,Bon état,28,33.5895,-7.6156
Palmier,Studio,27778.0,Neuf,45,33.5784,-7.625
Bourgogne Ouest,Appartement,10000.0,Recent,100,33.5895,-7.6156
Les Princesses,Studio,27547.0,Bon état,53,33.582,-7.638
Ain Sebaa,Appartement,10678.0,Bon état,59,33.606,-7.544
Oasis,Studio,23879.0,Bon état,58,33.564,-7.6223
Ain Diab,Appartement,26190.0,Bon état,189,33.5955,-7.684
Ferme Bretonne,Studio,21462.0,Neuf,65,33.549,-7.5944
Maarif,Appartement,17839.0,Bon état,199,33.578,-7.63
Ain Sebaa,Appartement,9310.0,Bon état,58,33.606,-7.544
Racine,Duplex,23000.0,Recent,100,33.587,-7.6386
Sidi Moumen,Villa,11073.0,Recent,289,33.5895,-7.5178
Racine,Appartement,20710.0,Bon état,169,33.587,-7.6386
Gauthier,Appartement,25000.0,Bon état,180,33.5894,-7.6323
Les Hopitaux,Appartement,11679.0,Bon état,137,33.584,-7.598
Ain Sebaa,Appartement,6695.0,Bon état,59,33.606,-7.544
Val Fleury,Appartement,16190.0,Neuf,105,33.565,-7.637
Ain Diab,Appartement,31532.0,Bon état,111,33.5955,-7.684
Maarif Extension,Appartement,13107.0,Bon état,103,33.578,-7.6419
Maarif Extension,Appartement,13855.0,Recent,166,33.578,-7.6419
Maarif,Appartement,19872.0,Bon état,78,33.578,-7.63
Ferme Bretonne,Appartement,26000.0,Bon état,50,33.549,-7.5944
Ain Diab Extension,Villa,45000.0,Bon état,200,33.598,-7.701
Bernoussi,Maison,15873.0,Bon état,63,33.6058,-7.5341
Triangle d'Or,Appartement,17387.0,Bon état,111,33.592,-7.613
Racine,Appartement,12755.0,Bon état,196,33.587,-7.6386
Racine,Appartement,16667.0,Bon état,240,33.587,-7.6386
Salam,Maison,30000.0,Bon état,120,33.5487,-7.6411
Les Hopitaux,Appartement,11875.0,Bon état,160,33.584,-7.598
Ain Diab,Appartement,27941.0,Recent,170,33.5955,-7.684
Val Fleury,Appartement,11170.0,Bon état,188,33.565,-7.637
Gauthier,Villa,25685.0,Bon état,292,33.5894,-7.6323
Anfa,Villa,19355.0,Bon état,1550,33.5892,-7.6554
Gauthier,Appartement,19512.0,Bon état,205,33.5894,-7.6323
Maarif Extension,Appartement,15761.0,Bon état,92,33.578,-7.6419
Racine,Duplex,11710.0,Bon état,538,33.587,-7.6386
Racine,Appartement,16951.0,Bon état,223,33.587,-7.6386
Maarif Extension,Appartement,16019.0,Bon état,206,33.578,-7.6419
Palmier,Appartement,17200.0,Bon état,125,33.5784,-7.625
Roches Noires,Appartement,15882.0,Bon état,85,33.6001,-7.5711
Sidi Maarouf,Maison,63492.0,Neuf,63,33.5433,-7.6578
Beausejour,Appartement,14000.0,Bon état,99,33.591,-7.6251
Roches Noires,Appartement,9583.0,Bon état,120,33.6001,-7.5711
Roches Noires,Appartement,10085.0,Bon état,117,33.6001,-7.5711
Les Hopitaux,Appartement,16667.0,Bon état,135,33.584,-7.598
Val Fleury,Appartement,14571.0,Bon état,175,33.565,-7.637
Ain Diab Extension,Villa,24848.0,Bon état,330,33.598,-7.701
Les Hopitaux,Appartement,12759.0,Bon état,116,33.584,-7.598
Bourgogne Ouest,Studio,29070.0,Bon état,43,33.5895,-7.6156
Mers Sultan,Appartement,13851.0,Bon état,148,33.5921,-7.6024
Bourgogne Est,Appartement,12847.0,Bon état,144,33.589,-7.6113
Ain Diab,Studio,29012.0,Bon état,81,33.5955,-7.684
Mers Sultan,Appartement,15385.0,Bon état,143,33.5921,-7.6024
Californie,Appartement,18750.0,Bon état,144,33.5731,-7.6298
Belvedere,Appartement,13265.0,Bon état,98,33.5901,-7.5939
Les Hopitaux,Appartement,11429.0,Bon état,245,33.584,-7.598
Californie,Villa,19772.0,Bon état,263,33.5731,-7.6298
Belvedere,Appartement,11386.0,Bon état,101,33.5901,-7.5939
Sidi Maarouf,Villa,14058.0,Bon état,626,33.5433,-7.6578
Sidi Maarouf,Villa,10000.0,Bon état,660,33.5433,-7.6578
Oulfa,Appartement,6769.0,Bon état,65,33.5368,-7.6572
Mers Sultan,Appartement,11905.0,Bon état,147,33.5921,-7.6024
Racine,Appartement,28731.0,Bon état,134,33.587,-7.6386
Beausejour,Appartement,12308.0,Bon état,78,33.591,-7.6251
Belvedere,Appartement,16273.0,Bon état,110,33.5901,-7.5939
Maarif Extension,Appartement,12353.0,Bon état,68,33.578,-7.6419
Mers Sultan,Appartement,11293.0,Bon état,147,33.5921,-7.6024
Sidi Maarouf,Appartement,10494.0,Bon état,81,33.5433,-7.6578
Racine,Appartement,14837.0,Bon état,246,33.587,-7.6386
Sidi Maarouf,Appartement,13243.0,Bon état,74,33.5433,-7.6578
Triangle d'Or,Appartement,21667.0,Bon état,90,33.592,-7.613
Sidi Maarouf,Maison,9074.0,Bon état,540,33.5433,-7.6578
Roches Noires,Appartement,11333.0,Bon état,75,33.6001,-7.5711
Californie,Appartement,11881.0,Bon état,101,33.5731,-7.6298
Sidi Maarouf,Appartement,11508.0,Bon état,126,33.5433,-7.6578
Maarif,Appartement,11892.0,Bon état,185,33.578,-7.63
Sidi Maarouf,Appartement,13529.0,Bon état,85,33.5433,-7.6578
Roches Noires,Appartement,10617.0,Bon état,81,33.6001,-7.5711
Sidi Maarouf,Appartement,9694.0,Bon état,98,33.5433,-7.6578
Oulfa,Appartement,13000.0,Bon état,100,33.5368,-7.6572
Roches Noires,Appartement,10114.0,Bon état,88,33.6001,-7.5711
Ain Sebaa,Villa,13400.0,Bon état,500,33.606,-7.544
Beausejour,Appartement,10476.0,Bon état,105,33.591,-7.6251
Sidi Maarouf,Appartement,13378.0,Bon état,74,33.5433,-7.6578
Belvedere,Appartement,7857.0,Bon état,210,33.5901,-7.5939
Belvedere,Appartement,9917.0,Bon état,121,33.5901,-7.5939
Racine,Duplex,13836.0,Bon état,318,33.587,-7.6386
Oasis,Villa,16000.0,Bon état,500,33.564,-7.6223
Oulfa,Appartement,10194.0,Bon état,103,33.5368,-7.6572
Mers Sultan,Appartement,12857.0,Bon état,175,33.5921,-7.6024
Sidi Maarouf,Appartement,12171.0,Bon état,129,33.5433,-7.6578
Sidi Maarouf,Villa,15714.0,Bon état,350,33.5433,-7.6578
Maarif,Appartement,19095.0,Neuf,199,33.578,-7.63
Les Princesses,Appartement,19084.0,Bon état,131,33.582,-7.638
Les Hopitaux,Appartement,14338.0,Bon état,136,33.584,-7.598
Oulfa,Appartement,9589.0,Bon état,73,33.5368,-7.6572
Californie,Villa,28000.0,Bon état,500,33.5731,-7.6298
Racine,Studio,31731.0,Bon état,52,33.587,-7.6386
Les Hopitaux,Appartement,16667.0,Bon état,150,33.584,-7.598
Les Princesses,Appartement,20000.0,Neuf,85,33.582,-7.638
Racine,Appartement,24500.0,Bon état,200,33.587,-7.6386
Ain Diab,Appartement,26923.0,Bon état,130,33.5955,-7.684
Ain Diab,Villa,24038.0,Recent,416,33.5955,-7.684
Hay Hassani,Appartement,87719.0,Recent,57,33.5559,-7.6694
Ferme Bretonne,Appartement,18488.0,Neuf,86,33.549,-7.5944
Bourgogne Est,Appartement,16667.0,Bon état,141,33.589,-7.6113
Racine,Studio,25472.0,Bon état,53,33.587,-7.6386
Oasis,Appartement,17979.0,Bon état,94,33.564,-7.6223
Ferme Bretonne,Appartement,16981.0,Bon état,159,33.549,-7.5944
Palmier,Appartement,10965.0,Bon état,114,33.5784,-7.625
Maarif,Appartement,10588.0,Bon état,85,33.578,-7.63
Gauthier,Appartement,11236.0,Recent,267,33.5894,-7.6323
Oulfa,Appartement,10484.0,Bon état,62,33.5368,-7.6572
Val Fleury,Appartement,14130.0,Bon état,92,33.565,-7.637
Oulfa,Appartement,13372.0,Bon état,86,33.5368,-7.6572
Maarif,Appartement,12000.0,Bon état,250,33.578,-7.63
Gauthier,Appartement,18696.0,Recent,230,33.5894,-7.6323
Ain Diab Extension,Villa,21705.0,Bon état,1935,33.598,-7.701
Triangle d'Or,Appartement,16443.0,Bon état,149,33.592,-7.613
Racine,Appartement,21212.0,Bon état,165,33.587,-7.6386
Les Princesses,Appartement,19375.0,Recent,160,33.582,-7.638
Sidi Maarouf,Appartement,11800.0,Bon état,100,33.5433,-7.6578
Mers Sultan,Appartement,10056.0,Recent,179,33.5921,-7.6024
Anfa,Villa,15349.0,Bon état,2150,33.5892,-7.6554
Californie,Appartement,15699.0,Bon état,143,33.5731,-7.6298
Maarif,Appartement,13000.0,Bon état,100,33.578,-7.63
Bourgogne Ouest,Appartement,20710.0,Bon état,169,33.5895,-7.6156
Oulfa,Appartement,10000.0,Recent,103,33.5368,-7.6572
Palmier,Appartement,13571.0,Bon état,140,33.5784,-7.625
Bernoussi,Appartement,61667.0,Bon état,60,33.6058,-7.5341
Ain Sebaa,Appartement,7500.0,Bon état,48,33.606,-7.544
Polo,Villa,10714.0,A renover,420,33.584,-7.652
Californie,Appartement,14607.0,Bon état,89,33.5731,-7.6298
Californie,Studio,15843.0,Bon état,108,33.5731,-7.6298
Californie,Appartement,15129.0,Bon état,116,33.5731,-7.6298
Californie,Appartement,17011.0,Bon état,133,33.5731,-7.6298
Californie,Appartement,17094.0,Bon état,117,33.5731,-7.6298
Californie,Studio,17333.0,Bon état,75,33.5731,-7.6298
Californie,Appartement,16239.0,Bon état,114,33.5731,-7.6298
Oulfa,Appartement,6429.0,Recent,56,33.5368,-7.6572
Anfa Superieur,Villa,30909.0,Bon état,1100,33.5936,-7.6623
Ferme Bretonne,Appartement,19000.0,Bon état,147,33.549,-7.5944
Californie,Appartement,14286.0,Bon état,140,33.5731,-7.6298
Californie,Villa,12771.0,Bon état,783,33.5731,-7.6298
Bourgogne Ouest,Appartement,18584.0,Bon état,113,33.5895,-7.6156
Bourgogne Ouest,Appartement,8482.0,Bon état,224,33.5895,-7.6156
Les Princesses,Appartement,11950.0,Bon état,159,33.582,-7.638
Ain Sebaa,Appartement,11000.0,Bon état,89,33.606,-7.544
Oasis,Villa,16923.0,Bon état,650,33.564,-7.6223
Californie,Villa,13666.0,Bon état,1061,33.5731,-7.6298
Californie,Appartement,15860.0,Bon état,125,33.5731,-7.6298
Californie,Appartement,15699.0,Bon état,143,33.5731,-7.6298
Californie,Appartement,17020.0,Bon état,99,33.5731,-7.6298
Gauthier,Appartement,15942.0,Recent,207,33.5894,-7.6323
Gauthier,Appartement,19005.0,Recent,221,33.5894,-7.6323
Racine,Appartement,25389.0,Bon état,193,33.587,-7.6386
Racine,Appartement,24583.0,Bon état,240,33.587,-7.6386
Racine,Duplex,24211.0,Recent,95,33.587,-7.6386
Bourgogne Est,Appartement,14286.0,Bon état,91,33.589,-7.6113
Ferme Bretonne,Appartement,19424.0,Bon état,139,33.549,-7.5944
Maarif,Appartement,13861.0,Bon état,101,33.578,-7.63
Racine,Appartement,15104.0,Bon état,192,33.587,-7.6386
Ain Sebaa,Appartement,10000.0,Bon état,90,33.606,-7.544
Racine,Appartement,20741.0,Neuf,135,33.587,-7.6386
Oasis,Duplex,18519.0,Bon état,135,33.564,-7.6223
Val Fleury,Appartement,13594.0,Bon état,96,33.565,-7.637
Bourgogne Ouest,Studio,27600.0,Bon état,50,33.5895,-7.6156
Ferme Bretonne,Studio,26400.0,Bon état,50,33.549,-7.5944
Sidi Maarouf,Appartement,12676.0,Neuf,71,33.5433,-7.6578
Oasis,Studio,29767.0,Bon état,43,33.564,-7.6223
Ferme Bretonne,Appartement,22051.0,Neuf,78,33.549,-7.5944
Ain Diab Extension,Villa,13667.0,Bon état,600,33.598,-7.701
Belvedere,Appartement,6140.0,Bon état,228,33.5901,-7.5939
Belvedere,Appartement,11635.0,Bon état,159,33.5901,-7.5939
Bourgogne Est,Appartement,23077.0,Neuf,104,33.589,-7.6113
Sidi Maarouf,Villa,11111.0,Bon état,450,33.5433,-7.6578
Bourgogne Est,Appartement,10294.0,Bon état,170,33.589,-7.6113
Californie,Villa,13810.0,Bon état,630,33.5731,-7.6298
Bourgogne Ouest,Appartement,24031.0,Bon état,129,33.5895,-7.6156
Oulfa,Appartement,13380.0,Bon état,71,33.5368,-7.6572
Californie,Villa,21505.0,Bon état,465,33.5731,-7.6298
Palmier,Appartement,17803.0,Bon état,132,33.5784,-7.625
Racine,Appartement,18182.0,Recent,143,33.587,-7.6386
Californie,Appartement,15089.0,Bon état,112,33.5731,-7.6298
Les Princesses,Appartement,24783.0,Bon état,115,33.582,-7.638
Bourgogne Ouest,Appartement,13077.0,Bon état,130,33.5895,-7.6156
Racine,Appartement,17800.0,Bon état,250,33.587,-7.6386
Anfa,Villa,17000.0,Bon état,575,33.5892,-7.6554
Ferme Bretonne,Appartement,16319.0,Bon état,144,33.549,-7.5944
Maarif Extension,Appartement,11765.0,Bon état,170,33.578,-7.6419
Gauthier,Appartement,15000.0,Neuf,151,33.5894,-7.6323
Les Princesses,Appartement,16387.0,Bon état,238,33.582,-7.638
Maarif Extension,Appartement,12921.0,Neuf,89,33.578,-7.6419
Ferme Bretonne,Appartement,18056.0,Bon état,108,33.549,-7.5944
Triangle d'Or,Appartement,21338.0,Bon état,157,33.592,-7.613
Californie,Villa,84000.0,Bon état,200,33.5731,-7.6298
Les Hopitaux,Studio,17358.0,Bon état,53,33.584,-7.598
Belvedere,Appartement,11705.0,Bon état,88,33.5901,-7.5939
Californie,Villa,14286.0,Recent,1050,33.5731,-7.6298
Maarif Extension,Appartement,25962.0,Bon état,104,33.578,-7.6419
Anfa,Appartement,12000.0,Bon état,200,33.5892,-7.6554
Gauthier,Appartement,12500.0,Bon état,320,33.5894,-7.6323
Racine,Appartement,17931.0,Bon état,145,33.587,-7.6386
Belvedere,Appartement,12708.0,Bon état,96,33.5901,-7.5939
Beausejour,Appartement,15714.0,Recent,126,33.591,-7.6251
Salam,Villa,18952.0,Bon état,525,33.5487,-7.6411
Oasis,Villa,19026.0,Bon état,657,33.564,-7.6223
Anfa,Villa,20000.0,Bon état,835,33.5892,-7.6554
Anfa,Villa,19638.0,Bon état,1935,33.5892,-7.6554
Gauthier,Appartement,15271.0,A renover,203,33.5894,-7.6323
Ain Diab,Villa,22000.0,Bon état,1000,33.5955,-7.684
Mers Sultan,Studio,17857.0,Bon état,56,33.5921,-7.6024
Ain Diab Extension,Villa,18102.0,Recent,453,33.598,-7.701
Californie,Villa,10219.0,Bon état,685,33.5731,-7.6298
Maarif Extension,Appartement,15132.0,Bon état,76,33.578,-7.6419
Californie,Villa,16923.0,Bon état,650,33.5731,-7.6298
Ain Diab,Villa,17143.0,Bon état,350,33.5955,-7.684
Californie,Appartement,18800.0,Bon état,125,33.5731,-7.6298
Anfa Superieur,Villa,23000.0,Bon état,2000,33.5936,-7.6623
Racine,Villa,19481.0,Bon état,770,33.587,-7.6386
Oulfa,Appartement,10175.0,Bon état,57,33.5368,-7.6572
Sidi Moumen,Appartement,6364.0,Bon état,55,33.5895,-7.5178
Racine,Appartement,13732.0,A renover,284,33.587,-7.6386
Roches Noires,Appartement,10222.0,Bon état,90,33.6001,-7.5711
Californie,Villa,13810.0,Bon état,630,33.5731,-7.6298
Les Princesses,Appartement,12766.0,Bon état,94,33.582,-7.638
Polo,Villa,40541.0,Bon état,333,33.584,-7.652
Sidi Maarouf,Appartement,8300.0,Bon état,50,33.5433,-7.6578
Oulfa,Appartement,8036.0,Recent,56,33.5368,-7.6572
Californie,Appartement,13500.0,Bon état,180,33.5731,-7.6298
Californie,Appartement,14000.0,Bon état,123,33.5731,-7.6298
Maarif Extension,Studio,30556.0,Neuf,36,33.578,-7.6419
Californie,Villa,16477.0,Neuf,528,33.5731,-7.6298
Racine,Duplex,24211.0,Bon état,95,33.587,-7.6386
Les Princesses,Appartement,13208.0,Bon état,159,33.582,-7.638
Belvedere,Appartement,11972.0,Neuf,142,33.5901,-7.5939
Oulfa,Appartement,12222.0,Bon état,90,33.5368,-7.6572
Triangle d'Or,Appartement,19000.0,Neuf,200,33.592,-7.613
Sidi Maarouf,Appartement,12903.0,Bon état,124,33.5433,-7.6578
Oasis,Appartement,14113.0,Bon état,124,33.564,-7.6223
Ain Diab,Appartement,21239.0,Bon état,113,33.5955,-7.684
Anfa,Appartement,20526.0,Bon état,95,33.5892,-7.6554
Oulfa,Appartement,11250.0,Bon état,64,33.5368,-7.6572
Californie,Maison,21505.0,Bon état,465,33.5731,-7.6298
Californie,Villa,15000.0,Recent,900,33.5731,-7.6298
Mers Sultan,Appartement,9814.0,Recent,377,33.5921,-7.6024
Racine,Appartement,18548.0,Recent,248,33.587,-7.6386
Ain Sebaa,Appartement,9627.0,Bon état,59,33.606,-7.544
Ain Diab,Appartement,18367.0,Bon état,196,33.5955,-7.684
Les Princesses,Duplex,11970.0,Bon état,132,33.582,-7.638
Californie,Appartement,16981.0,Bon état,106,33.5731,-7.6298
Beausejour,Appartement,10000.0,Bon état,125,33.591,-7.6251
Californie,Villa,13333.0,A renover,1200,33.5731,-7.6298
Racine,Appartement,16693.0,Bon état,264,33.587,-7.6386
Maarif Extension,Appartement,14815.0,Bon état,108,33.578,-7.6419
Bourgogne Ouest,Appartement,13445.0,Bon état,119,33.5895,-7.6156
Gauthier,Villa,14209.0,Bon état,278,33.5894,-7.6323
Palmier,Appartement,16429.0,Bon état,140,33.5784,-7.625
Ain Diab,Studio,42188.0,Bon état,64,33.5955,-7.684
Gauthier,Appartement,20402.0,Bon état,174,33.5894,-7.6323
Les Princesses,Appartement,21930.0,Bon état,114,33.582,-7.638
Les Princesses,Appartement,25000.0,Bon état,40,33.582,-7.638
Maarif,Appartement,11111.0,Bon état,180,33.578,-7.63
Oulfa,Appartement,6964.0,Neuf,56,33.5368,-7.6572
Gauthier,Appartement,20339.0,Bon état,177,33.5894,-7.6323
Maarif,Appartement,8636.0,Bon état,110,33.578,-7.63
Ain Diab,Appartement,22727.0,Bon état,220,33.5955,-7.684
Gauthier,Appartement,15205.0,Neuf,171,33.5894,-7.6323
Oulfa,Appartement,7857.0,Neuf,56,33.5368,-7.6572
Racine,Appartement,18367.0,Bon état,147,33.587,-7.6386
Triangle d'Or,Appartement,17197.0,Bon état,157,33.592,-7.613
Racine,Appartement,17801.0,Bon état,191,33.587,-7.6386
Triangle d'Or,Appartement,21212.0,Bon état,165,33.592,-7.613
Racine,Appartement,24060.0,Bon état,133,33.587,-7.6386
Ain Diab,Villa,18933.0,Bon état,1500,33.5955,-7.684
Ain Diab,Appartement,29630.0,Bon état,189,33.5955,-7.684
Les Princesses,Appartement,16116.0,Bon état,121,33.582,-7.638
Racine,Studio,26744.0,Bon état,43,33.587,-7.6386
Palmier,Studio,24000.0,Bon état,48,33.5784,-7.625
Beausejour,Studio,40625.0,Bon état,32,33.591,-7.6251
Palmier,Appartement,15172.0,Bon état,145,33.5784,-7.625
Mers Sultan,Appartement,15385.0,Bon état,91,33.5921,-7.6024
Racine,Appartement,20571.0,Bon état,175,33.587,-7.6386
Californie,Appartement,12937.0,Bon état,143,33.5731,-7.6298
Gauthier,Appartement,26500.0,Bon état,200,33.5894,-7.6323
Oulfa,Appartement,7547.0,Bon état,53,33.5368,-7.6572
Gauthier,Appartement,13672.0,A renover,256,33.5894,-7.6323
Anfa Superieur,Villa,17690.0,Bon état,961,33.5936,-7.6623
Hay Hassani,Maison,8444.0,Bon état,450,33.5559,-7.6694
Mers Sultan,Duplex,14552.0,Bon état,134,33.5921,-7.6024
Californie,Villa,12222.0,Bon état,1800,33.5731,-7.6298
Californie,Villa,12363.0,Bon état,728,33.5731,-7.6298
Californie,Villa,14050.0,Bon état,605,33.5731,-7.6298
Anfa Superieur,Appartement,30797.0,Bon état,138,33.5936,-7.6623
Bourgogne Est,Studio,20652.0,Bon état,46,33.589,-7.6113
Californie,Villa,15000.0,Bon état,2133,33.5731,-7.6298
Les Hopitaux,Appartement,17347.0,Bon état,49,33.584,-7.598
Gauthier,Appartement,15000.0,Bon état,200,33.5894,-7.6323
Palmier,Appartement,23118.0,Neuf,93,33.5784,-7.625
Californie,Villa,11852.0,Bon état,1350,33.5731,-7.6298
Californie,Villa,14969.0,Bon état,648,33.5731,-7.6298
Californie,Villa,22581.0,Bon état,465,33.5731,-7.6298
Californie,Villa,17146.0,Bon état,1633,33.5731,-7.6298
Gauthier,Villa,17785.0,Bon état,298,33.5894,-7.6323
Polo,Villa,10455.0,Bon état,2200,33.584,-7.652
Oasis,Villa,10588.0,Bon état,850,33.564,-7.6223
Roches Noires,Appartement,10357.0,Bon état,140,33.6001,-7.5711
Californie,Villa,21212.0,Bon état,462,33.5731,-7.6298
Californie,Villa,8087.0,Bon état,1422,33.5731,-7.6298
Hay Hassani,Appartement,8908.0,Bon état,174,33.5559,-7.6694
Les Hopitaux,Appartement,9766.0,A renover,128,33.584,-7.598
Salam,Villa,14041.0,Bon état,641,33.5487,-7.6411
Les Hopitaux,Appartement,15915.0,Neuf,71,33.584,-7.598
Racine,Appartement,12071.0,Recent,729,33.587,-7.6386
Salam,Villa,20000.0,Bon état,375,33.5487,-7.6411
Bourgogne Ouest,Studio,28877.0,Bon état,45,33.5895,-7.6156
Les Hopitaux,Duplex,16987.0,Bon état,156,33.584,-7.598
Bourgogne Ouest,Studio,32640.0,Bon état,36,33.5895,-7.6156
Californie,Appartement,18293.0,Bon état,82,33.5731,-7.6298
